,precision,recall,f1-score,support
0,0.9775553533515317,0.9363742010459035,0.9565217391304348,3442.0
1,0.9320297951582868,0.9759506012349691,0.9534846801079536,3077.0
accuracy,0.9550544562049395,0.9550544562049395,0.9550544562049395,0.9550544562049395
macro avg,0.9547925742549093,0.9561624011404364,0.9550032096191943,6519.0
weighted avg,0.9560670664117227,0.9550544562049395,0.9550882323637261,6519.0
