,precision,recall,f1-score,support
0,0.7502605071205279,0.7019824504387391,0.7253190060443251,3077.0
1,0.7480769230769231,0.7911098198721673,0.7689918102231008,3442.0
accuracy,0.7490412639975457,0.7490412639975457,0.7490412639975457,0.7490412639975457
macro avg,0.7491687150987255,0.7465461351554532,0.747155408133713,6519.0
weighted avg,0.7491075854641255,0.7490412639975457,0.7483780322727875,6519.0
