Model,Accuracy@0.5,F1@0.5,Precision,Recall,ROC_AUC,PR_AUC,BestThreshold,F1@Best
Early Risk,0.7513422304034361,0.7491100448846928,0.8015899304405433,0.7030796048808832,0.8293486263947409,0.8557245402830702,0.4099999999999998,0.7689918102231008
Final Outcome,0.9544408651633686,0.952744630071599,0.933291770573566,0.973025674358141,0.989334469136819,0.9852920133023119,0.47999999999999976,0.9534846801079536
