,precision,recall,f1-score,support
0,0.9749320446994866,0.9378268448576409,0.9560195468680587,3442.0
1,0.933291770573566,0.973025674358141,0.952744630071599,3077.0
accuracy,0.9544408651633686,0.9544408651633686,0.9544408651633686,0.9544408651633686
macro avg,0.9541119076365263,0.955426259607891,0.9543820884698289,6519.0
weighted avg,0.9552776309112587,0.9544408651633686,0.9544737700644529,6519.0
