,precision,recall,f1-score,support
0,0.708,0.8053298667533312,0.7535350463737266,3077.0
1,0.8015899304405433,0.7030796048808832,0.7491100448846928,3442.0
accuracy,0.7513422304034361,0.7513422304034361,0.7513422304034361,0.7513422304034361
macro avg,0.7547949652202717,0.7542047358171071,0.7513225456292096,6519.0
weighted avg,0.7574150238650637,0.7513422304034361,0.7511986673086469,6519.0
